kata
dapet
bos
ajg
anjing
anj
bozzzz
bullshit
saja
loe
anda
klw
ayo
ayoh
ayok
diyem
besok
bsk
tomi
bsok
kasih
supaya
agar1
karena
krna
krn
donk
dong
pakenjadi
tuk
ko
terlalu
erlalu
dengan
dgn
dg
lagi
berikutnya
kok
lainnya
terima
lain
kita
kami
uda
bln
andai
ngomong
sebagai
ataupun
bahkan
mungkin
emg
emang
emng
atau
ibu2
bulan
tambah
sama
kali221
malah
untuk
sebuah
pda
nya
pada
pd
brni
se7
banget
jadi
jdi
jd
ngg
nerima
berani
makin
semakin
cuma
oleh
kalian
dri
dari
kemana
kmn
kmna
suruh
mana
hanya
slllu
slalu
bilang
bisa
selalu
hny
ke
buka
tahu
agar
tuh
yang
buk
coba
seperti
punya
woi
woy
oy
dahmah
belet
aja
lanjutkan
di
ini
itu
masih
tidak
usah
ambil
saya
lah
congorr
buat
sok
giliran
ada
iya
gitu
kan
gaknya
tidak ada
